,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
0,Compass 2.0 Longitude Option BSIV,1003000.0,86226,Diesel,Manual,1st Owner,2017,1956,5,Jeep
1,Duster RXZ Turbo CVT,1283000.0,13248,Petrol,Automatic,1st Owner,2021,1330,5,Renault
3,Jazz VX CVT,777000.0,26696,Petrol,Automatic,1st Owner,2018,1199,5,Honda
4,Polo 1.2 MPI Highline,515000.0,69414,Petrol,Manual,1st Owner,2016,1199,5,Volkswagen
5,Vento 1.2 TSI Highline AT,766000.0,49719,Petrol,Automatic,1st Owner,2017,1197,5,Volkswagen
6,Vento 1.2 TSI Highline Plus AT,758000.0,43688,Petrol,Automatic,1st Owner,2017,1197,5,Volkswagen
7,WR-V VX Diesel,1160000.0,14470,Diesel,Manual,1st Owner,2021,1498,5,Honda
8,City i VTEC CVT SV,699000.0,21429,Petrol,Automatic,1st Owner,2015,1497,5,Honda
9,Duster Petrol RXS CVT,753000.0,31750,Petrol,Automatic,1st Owner,2017,1498,5,Renault
10,Baleno 1.2 Alpha,643000.0,38203,Petrol,Manual,1st Owner,2017,1197,5,Maruti
11,City i VTEC CVT SV,543000.0,110284,Petrol,Automatic,1st Owner,2014,1497,5,Honda
12,XUV300 W6,862000.0,10381,Petrol,Manual,1st Owner,2020,1197,5,Mahindra
13,Compass 1.4 Limited Plus BSIV,1678000.0,32378,Petrol,Automatic,1st Owner,2019,1368,5,Jeep
14,City V MT,1003000.0,38906,Petrol,Manual,1st Owner,2020,1498,5,Honda
15,Grand i10 AT Asta,563000.0,59313,Petrol,Automatic,2nd Owner,2016,1197,5,Hyundai
16,i20 1.4 Asta,667000.0,85672,Diesel,Manual,1st Owner,2017,1396,5,Hyundai
17,Ciaz 1.4 Delta,673000.0,34971,Petrol,Manual,2nd Owner,2017,1373,5,Maruti
18,Micra XL Optional,321000.0,35894,Petrol,Manual,2nd Owner,2015,1198,5,Nissan
19,Ciaz Alpha Automatic BSIV,850000.0,56000,Petrol,Automatic,1st Owner,2019,1462,5,Maruti
20,Swift Dzire VXI,434000.0,56568,Petrol,Manual,1st Owner,2014,1197,5,Maruti
21,KWID RXT,311000.0,48872,Petrol,Manual,1st Owner,2017,799,5,Renault
22,KWID RXL BSIV,370000.0,17346,Petrol,Manual,1st Owner,2019,799,5,Renault
23,Compass 2.0 Limited Plus BSIV,1588000.0,15414,Diesel,Manual,1st Owner,2019,1956,5,Jeep
24,Grand i10 1.2 Kappa Magna BSIV,541000.0,21239,Petrol,Manual,1st Owner,2018,1197,5,Hyundai
25,Alto K10 LXI,223000.0,62361,Petrol,Manual,1st Owner,2014,998,5,Maruti
26,Verna 1.6 VTVT S Option,588000.0,79329,Petrol,Manual,2nd Owner,2015,1591,5,Hyundai
27,Tucson GLS AT,2278000.0,11945,Petrol,Automatic,1st Owner,2021,1999,5,Hyundai
28,Swift Dzire VXI 1.2,612000.0,51324,Petrol,Manual,1st Owner,2018,1197,5,Maruti
29,Magnite XV Premium,744000.0,5717,Petrol,Manual,1st Owner,2021,999,5,Nissan
30,City i VTEC CVT VX,839000.0,46417,Petrol,Automatic,1st Owner,2016,1497,5,Honda
31,Amaze S i-Vtech,420000.0,100161,Petrol,Manual,1st Owner,2015,1198,5,Honda
32,Grand i10 Sportz,491000.0,35424,Petrol,Manual,1st Owner,2016,1197,5,Hyundai
33,EON Era Plus,293000.0,51085,Petrol,Manual,1st Owner,2017,814,5,Hyundai
34,Alto 800 LXI,298000.0,30983,Petrol,Manual,1st Owner,2016,796,5,Maruti
35,KWID RXL,260000.0,32681,Petrol,Manual,1st Owner,2016,799,5,Renault
36,EON Magna Plus,238000.0,57581,Petrol,Manual,2nd Owner,2014,814,5,Hyundai
37,Jazz 1.2 V AT i VTEC,605000.0,39821,Petrol,Automatic,1st Owner,2016,1199,5,Honda
38,Alto 800 LXI,323000.0,21186,Petrol,Manual,1st Owner,2018,796,5,Maruti
39,KWID RXL,326000.0,34972,Petrol,Manual,1st Owner,2018,799,5,Renault
40,Amaze S i-Vtech,421000.0,46623,Petrol,Manual,2nd Owner,2015,1198,5,Honda
41,Seltos GTX Plus,1553000.0,18557,Petrol,Manual,1st Owner,2019,1353,5,Kia
42,Compass 2.0 Limited,1243000.0,58463,Diesel,Manual,1st Owner,2017,1956,5,Jeep
43,Hector Plus Sharp DCT,1850000.0,5000,Petrol,Automatic,1st Owner,2020,1451,6,MG
44,Harrier XZ BSIV,1590000.0,66000,Diesel,Manual,1st Owner,2019,1956,5,Tata
45,Duster Petrol RXS CVT,890000.0,14000,Petrol,Automatic,1st Owner,2019,1498,5,Renault
46,5 Series 520d Luxury Line,4300000.0,61000,Diesel,Automatic,1st Owner,2019,1995,5,BMW
47,i20 1.4 Magna Executive,600000.0,65392,Diesel,Manual,1st Owner,2017,1396,5,Hyundai
48,CLA 200 CGI Sport,2700000.0,37000,Petrol,Automatic,1st Owner,2018,1991,5,Mercedes-Benz
49,XL6 Zeta,1090000.0,9000,Petrol,Manual,1st Owner,2020,1462,6,Maruti
50,Grand i10 1.2 Kappa Sportz Option AT,590000.0,32000,Petrol,Automatic,1st Owner,2017,1197,5,Hyundai
51,XUV500 W8 2WD,650000.0,68000,Diesel,Manual,1st Owner,2012,2179,7,Mahindra
52,i20 Magna 1.2,675000.0,13000,Petrol,Manual,1st Owner,2017,1197,5,Hyundai
53,RediGO AMT 1.0 T Option,370000.0,30000,Petrol,Automatic,1st Owner,2020,999,5,Datsun
54,Brio VX AT,525000.0,34300,Petrol,Automatic,1st Owner,2015,1198,5,Honda
55,City i VTEC CVT SV,725000.0,45000,Petrol,Automatic,1st Owner,2015,1497,5,Honda
56,Corolla Altis GL MT,850000.0,37000,Petrol,Manual,1st Owner,2014,1798,5,Toyota
57,Compass 1.4 Sport,1400000.0,50000,Petrol,Manual,1st Owner,2018,1368,5,Jeep
58,XC60 D4 Summum,1500000.0,105241,Diesel,Automatic,1st Owner,2015,1985,5,Volvo
59,Corolla Altis 1.8 G,1390000.0,54000,Petrol,Manual,1st Owner,2019,1798,5,Toyota
60,Verna VTVT 1.6 SX,890000.0,19600,Petrol,Manual,1st Owner,2019,1591,5,Hyundai
61,A4 2.0 TDI Technology Edition,1690000.0,48000,Diesel,Automatic,1st Owner,2015,1968,5,Audi
62,Q3 2.0 TDI,1390000.0,69500,Diesel,Automatic,1st Owner,2012,1968,5,Audi
65,A-Star Zxi,153000.0,46257,Petrol,Manual,3rd Owner,2008,998,5,Maruti
66,Ecosport 1.5 DV5 MT Titanium,509000.0,78264,Diesel,Manual,2nd Owner,2015,1498,5,Ford
67,Jazz 1.2 S AT i VTEC,546000.0,42451,Petrol,Automatic,1st Owner,2016,1199,5,Honda
68,Vento Diesel Highline,273000.0,131861,Diesel,Manual,2nd Owner,2012,1598,5,Volkswagen
69,Wagon R VXI BS IV,180000.0,128004,Petrol,Manual,2nd Owner,2012,998,5,Maruti
70,Beat Diesel PS,110000.0,150349,Diesel,Manual,1st Owner,2012,936,5,Chevrolet
71,Wagon R VXI BS IV,369000.0,29033,Petrol,Manual,1st Owner,2017,998,5,Maruti
72,3 Series 320d Luxury Line,1350000.0,99000,Diesel,Automatic,1st Owner,2015,1995,5,BMW
73,KWID RXL,275000.0,47000,Petrol,Manual,1st Owner,2018,799,5,Renault
